node,created_iteration,parent,action,rank,blocks,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13,class14,class15,class16,class17,class18,class19,class20,class21,class22,class23,class24,class25,class26,class27,class28,class29,class30,class31,class32,class33,class34,class35,class36,class37,class38,class39,class40,class41,class42,class43,class44,class45,class46
54,59,42,29,4,"[2, 28, 29, 37]",0,0,0,0,0,0,0,9,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,3,4,0,2,2,0,0,1,1,0,0,0,4,8,2,0
55,60,2,19,3,"[0, 19]",0,0,0,0,0,0,20,24,16,20,20,24,0,0,16,0,0,0,20,24,0,24,0,0,4,0,0,24,28,24,20,12,0,6,16,0,0,8,4,0,0,16,8,12,4,4
56,61,55,10,5,"[0, 10, 19]",0,0,0,0,0,0,8,12,8,8,8,10,0,0,6,0,0,0,8,12,0,10,0,0,2,0,0,13,17,10,8,6,0,3,8,0,0,5,2,0,0,8,6,10,2,2
57,62,55,9,5,"[0, 9, 19]",0,0,0,0,0,0,10,10,6,6,6,8,0,0,8,0,0,0,10,12,0,8,0,0,2,0,0,12,22,10,8,6,0,4,8,0,0,4,4,0,0,8,6,12,2,2
58,63,3,9,4,"[0, 9, 28]",0,0,0,0,0,0,8,6,8,10,8,2,0,0,11,0,0,0,11,12,0,8,0,0,7,0,0,15,21,10,11,2,0,4,4,0,0,6,3,2,0,4,9,11,0,2
59,64,29,25,5,"[0, 6, 25, 34]",0,0,0,0,0,0,4,8,3,5,4,5,0,0,12,0,0,0,4,6,0,4,0,0,4,0,0,7,11,3,5,3,0,2,4,0,0,3,3,2,0,2,6,7,1,1
60,65,56,4,7,"[0, 4, 10, 19]",0,0,0,0,0,0,1,2,0,1,1,0,0,0,4,0,0,0,1,2,0,0,0,0,2,0,0,6,10,0,1,1,0,1,0,0,0,2,2,0,0,0,4,9,0,0
61,66,53,16,7,"[2, 9, 16, 31, 36]",0,0,0,0,0,0,3,1,1,2,2,0,0,0,5,0,0,0,2,2,0,2,0,0,2,0,0,3,9,1,2,0,0,0,1,0,0,1,1,1,0,2,4,6,0,1
62,67,38,33,4,"[3, 24, 29, 33]",0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,4,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0
63,68,47,39,3,"[2, 36, 39]",0,0,0,0,0,0,24,16,24,16,16,24,0,0,32,0,0,0,16,16,0,16,0,0,8,0,0,16,16,16,16,8,0,0,8,0,0,8,4,8,0,16,8,8,4,4
64,69,63,9,5,"[2, 9, 36, 39]",0,0,0,0,0,0,12,8,8,4,4,8,0,0,16,0,0,0,8,8,0,4,0,0,4,0,0,8,16,4,4,4,0,0,4,0,0,4,4,4,0,8,6,8,2,2
65,70,12,39,4,"[0, 25, 28, 39]",0,0,0,0,0,0,7,8,5,7,6,2,0,0,9,0,0,0,5,8,0,4,0,0,3,0,0,9,10,4,7,2,0,2,3,0,0,3,2,1,0,2,5,5,0,1
66,71,4,28,3,"[22, 24, 28]",0,0,0,0,0,0,9,16,7,8,8,8,0,0,12,0,0,0,6,10,0,6,0,0,5,0,0,11,15,5,10,5,0,4,6,0,0,5,3,2,0,4,7,8,1,1
67,72,4,4,4,"[4, 22, 24]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,6,6,0,0,0,0,0,0,0,0,4,0,4,0,0,6,8,0,0
68,73,5,24,2,"[2, 24]",0,0,0,0,0,0,4,8,0,4,4,0,0,0,8,0,0,0,4,8,0,0,0,0,4,0,0,12,20,0,4,4,0,2,0,0,0,4,4,0,0,0,8,12,0,0
